Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,RNA enrichment in P-body (log2) (Fold change=sorted P-bodies/pre-sorted fraction),NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
ENPEP,7802,0.0,44.46643481473789,34.11219152967026,0.451737768296144,-0.3823308396753527,0.0,0,0,not flagged,1
PSME4,10259,6.324979675232084,76.8622560827309,60.55012828262329,0.475997396732452,-0.3440947486276992,0.0822897999302047,0,0,not flagged,6
KIAA1328,11127,3.31802212471191,58.069619183922306,46.23300889647036,0.496021003185368,-0.3287967210986295,0.0571386926820172,0,0,not flagged,16
BCHE,3082,0.0,95.54344143875706,75.643042234909,0.498561581408353,-0.3369097353443625,0.0,0,0,not flagged,1
UBE2Q1,4161,7.983990737588042,87.47001725954571,72.23096467363293,0.537469677176986,-0.2761363469717123,0.0912768853571563,0,1,strongly selective,219
BEND3,6839,1.140570105369719,27.412160986792372,23.284957012423863,0.595475369500857,-0.2353245981487181,0.0416081791552028,0,0,not flagged,35
DMXL2,13807,4.873344995670619,51.96833062368464,44.92397401612931,0.611696058839368,-0.2101036386088216,0.0937752846240087,0,1,strongly selective,4
PPARG,4046,4.769656804273364,52.512265635308985,45.61362596259993,0.619261516367319,-0.2031480404407107,0.0908293852220741,0,1,strongly selective,30
GPR155,7102,2.07376382794494,21.966319285252535,19.06859521089001,0.651143254187645,-0.2039948288368978,0.0944065230508234,0,0,not flagged,14
PBX3,4529,2.903269359122917,90.213533991806,80.86077149075656,0.660611441216582,-0.1578854219662321,0.0321821929665965,0,1,strongly selective,1
CALM2,6466,9.02087265156051,211.63871420050077,189.69318894812696,0.668722420440717,-0.157927793139605,0.0426239248600536,0,1,strongly selective,18
MAB21L3,3256,0.0,61.11265583276914,53.29659210732484,0.670625041467074,-0.1973932776137282,0.0,0,0,not flagged,1
ANKRD18A,7282,0.72581733978073,14.61468301704503,13.084489470523971,0.678959298469022,-0.1594455424921156,0.0496635704608997,0,0,not flagged,3
GALNT13,6520,1.03688191397247,29.337236028607517,25.418654121397296,0.685040389062317,-0.2067695287125598,0.0353435447347997,0,0,not flagged,2
RUNDC3B,4710,0.414752765588989,12.429223845854729,11.40058083903372,0.689931127769875,-0.1245242385120865,0.0333691605149836,0,0,not flagged,0
EPHA6,6303,0.5184409569862349,41.16413405122716,37.34506110379252,0.70208103868478,-0.140434586551296,0.0125944822825874,0,0,not flagged,0
SLC8A1,21944,0.103688191397247,15.762750387481733,14.907249662971315,0.707156545170385,-0.0804526871060971,0.0065780519800397,0,0,not flagged,0
GPR161,5902,1.244258296766966,25.86785045498786,23.76449124537205,0.713076739637126,-0.1223033158430187,0.048100567881822,0,1,strongly selective,2
HIC2,7219,0.0,21.62052261272792,20.15832841432405,0.719352328289198,-0.1009770066559584,0.0,0,1,strongly selective,39
OSR2,2930,1.24425829676697,13.412321395398322,12.439873175096343,0.723727877409842,-0.1085031618924979,0.0927697942873533,0,0,not flagged,2
AGK,6547,6.22129148383483,70.740827995399,66.51513789789189,0.727447103518897,-0.0888474361036254,0.0879448496735077,0,0,not flagged,1
ITPRIPL1,2495,0.0,67.84623246328664,63.26106815715389,0.731683765977765,-0.1009353784923697,0.0,0,0,not flagged,1
