Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,Pub_Log2FC,NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
TNRC6C,11058,0,53.63813573,386.5230742,3.696978812,2.848991922,0,0,0,not flagged,2
CCP110,10111,6.739732441,113.2022485,749.0788152,3.576582608,2.726106729,0.05953709,0,0,not flagged,222
ZNF462,12259,2.281140211,77.2545603,510.4324098,3.548622441,2.723869464,0.02952758,0,0,not flagged,0
ZNF221,2715,3.214333933,37.65603522,209.4606876,3.542634351,2.475412288,0.085360392,0,0,not flagged,1
ZFHX3,17503,6.013915101,71.97882124,469.3765773,3.525853448,2.704931786,0.083551175,0,0,not flagged,2
TNRC6B,19998,8.813496269,148.5184352,948.0245,3.497835665,2.674200406,0.059342776,0,0,not flagged,5
ARID4A,7568,4.665968613,67.91343788,383.4807092,3.48043395,2.49721024,0.068704645,0,0,not flagged,11
FIGN,9942,6.947108824,103.1505822,603.785727,3.441181184,2.549168726,0.067349196,0,0,not flagged,1
LEO1,2679,30.58801646,379.5242885,2306.595977,3.440670708,2.603469443,0.080595676,0,0,not flagged,96
FBXO30,9009,5.391785953,241.8826989,1445.871923,3.428538546,2.579510611,0.022290912,0,0,not flagged,0
KLHL8,7354,6.013915101,214.0938598,1205.139393,3.320993341,2.492829288,0.028090087,0,1,strongly selective,1
ZNF624,5090,3.214333933,45.07693578,226.9451971,3.3179709,2.331626156,0.071307729,0,0,not flagged,0
ZNF721,6390,3.006957551,123.1152859,594.8778558,3.286687497,2.272490652,0.024423917,0,1,strongly selective,1
RNF20,4690,11.71676563,122.6423944,684.2895876,3.286112411,2.48005268,0.095536015,1,0,common essential,1042
JAKMIP2,6214,5.91022691,63.57079882,328.012034,3.273000122,2.36712968,0.092970782,0,0,not flagged,0
ARL13B,4160,9.331937226,103.0505633,531.1684109,3.269342189,2.365704128,0.090556877,0,0,not flagged,10
UTP3,2072,16.59011062,180.7708436,1014.927446,3.269161676,2.489077096,0.091774261,1,0,common essential,1037
ZEB1,8561,9.850378183,121.7451007,614.4707419,3.262698933,2.335385584,0.080909853,0,1,strongly selective,98
ZNF804A,4690,0,22.45900791,91.88225476,3.258900723,2.032006842,0,0,0,not flagged,0
ZNF507,11239,7.672926163,228.6757697,1208.1105,3.255661032,2.401325859,0.033553735,0,0,not flagged,0
ZNF37A,9626,4.562280421,54.82802834,274.285704,3.239914617,2.322483421,0.083210733,0,0,not flagged,30
UBN2,16386,4.251215847,94.49870385,492.9462283,3.21504408,2.382940443,0.044987028,0,0,not flagged,4
CTTNBP2NL,7404,2.073763828,136.8051861,707.9345909,3.205197549,2.371408074,0.015158518,0,0,not flagged,0
ZNF292,13128,9.435625417,184.6222682,843.0272827,3.175716855,2.190941719,0.051107732,0,0,not flagged,2
ZFX,9037,13.99790584,303.2642419,1525.332803,3.161174832,2.330438633,0.046157456,0,0,not flagged,313
RBM26,9018,12.0278302,257.6832916,1276.86713,3.160511362,2.30889282,0.046676795,0,0,not flagged,7
PRTG,14388,6.636044249,83.63357954,415.6956425,3.146709783,2.313235622,0.079346649,0,0,not flagged,1
KLHL20,4254,8.502431695,111.9673074,555.7653868,3.144786522,2.31129555,0.075936735,0,1,strongly selective,3
ZBTB37,19464,1.762699254,47.12881713,231.2868162,3.133883033,2.294757945,0.037401729,0,0,not flagged,3
CHD7,12738,2.903269359,93.09495209,458.5856229,3.125863447,2.300292776,0.031186109,0,1,strongly selective,35
LIN28B,5505,25.61098328,481.9579385,2300.19098,3.124869639,2.254750838,0.053139457,0,1,strongly selective,33
POU2F1,15782,7.361861589,126.8032649,623.7172377,3.124108104,2.298209599,0.05805735,0,1,strongly selective,80
MED13L,12813,6.013915101,92.6399122,454.3097722,3.121947104,2.293846579,0.064917107,0,1,strongly selective,74
CAMSAP2,7777,0.414752766,107.9230768,505.6607038,3.114477566,2.228061142,0.003843041,0,0,not flagged,50
ASH1L,13296,4.251215847,154.7698536,723.0246542,3.098454947,2.223847096,0.027467984,0,1,strongly selective,77
NR6A1,7124,1.347946488,146.5686445,708.0588467,3.095513885,2.272214715,0.009196691,0,0,not flagged,30
MTF1,8024,3.318022125,112.2645227,538.2320844,3.087603401,2.261224608,0.029555393,0,1,strongly selective,133
ABL2,13257,6.013915101,100.7425083,482.1194677,3.083169997,2.258604853,0.059695904,0,0,not flagged,0
ESRRG,10880,0,29.40464794,135.0681642,3.079798355,2.199187803,0,0,0,not flagged,3
ANKRD50,8794,6.947108824,135.4236968,621.4921718,3.065832002,2.198172697,0.051299064,0,1,strongly selective,1
CLOCK,11762,4.769656804,136.4559959,628.7265822,3.055532882,2.203914196,0.034953809,0,0,not flagged,0
NCKAP5,9545,0.103688191,18.97320507,87.39863078,3.039929255,2.203052146,0.00546498,0,0,not flagged,0
E2F8,4140,8.91718446,123.2114186,565.7194397,3.034749845,2.198859198,0.072373036,0,0,not flagged,6
RGS17,7899,1.036881914,41.33523082,181.9660742,3.034313437,2.137955952,0.025084701,0,0,not flagged,0
PANK3,10580,8.398743503,235.6305307,1080.812877,3.032854603,2.197470504,0.035643698,0,0,not flagged,7
ZNF480,4836,4.977033187,60.561264,238.5476411,3.018663852,1.977632475,0.082181792,0,0,not flagged,0
SMC3,4275,31.10645742,388.4516156,1552.322996,3.003669933,1.998594112,0.080078075,1,0,common essential,1163
TRIM71,8685,0,40.76278715,183.3624255,2.998987469,2.169098226,0,0,1,strongly selective,14
F3,2875,0.103688191,19.33959587,84.94550683,2.997917604,2.134404031,0.005361446,0,0,not flagged,134
KATNAL1,8105,3.525398508,81.66837603,368.68113,2.994614813,2.174386621,0.043167241,0,0,not flagged,0
RLF,6246,8.91718446,251.7940505,1061.238032,2.992730465,2.075388482,0.035414596,0,0,not flagged,9
CPEB2,7177,1.970075637,22.53826454,98.71998464,2.991979866,2.130471904,0.087410263,0,0,not flagged,1
ZC3H12C,9719,7.880302546,90.21480934,405.215667,2.991456592,2.167129463,0.087350432,0,0,not flagged,3
TET2,16474,7.050797015,82.921078,351.7458845,2.991037937,2.084589808,0.085030214,0,0,not flagged,0
EHBP1,8219,2.073763828,68.52772562,297.9452612,2.982273397,2.120125499,0.030261676,0,1,strongly selective,2
CWC22,3328,24.1593486,258.1346786,1006.488547,2.977740241,1.963093325,0.09359203,1,1,both,1181
PEAK1,16711,7.776614355,90.14961611,399.6821667,2.976967777,2.148336021,0.086263422,0,0,not flagged,0
FNBP1L,5798,10.36881914,129.7635339,558.1894127,2.971299709,2.104784417,0.079905493,0,0,not flagged,2
HIVEP2,9774,2.592204785,89.47140597,396.6723576,2.968042219,2.148324405,0.028972438,0,1,strongly selective,4
ZFP62,4198,8.813496269,128.7382721,552.0117753,2.965198352,2.100172107,0.068460576,0,0,not flagged,0
STARD13,8388,1.244258297,32.00189532,140.7143297,2.96468716,2.136191775,0.038880769,0,0,not flagged,2
ATXN7,9172,1.555322871,92.47433745,403.66553,2.9604173,2.12591517,0.016818967,0,0,not flagged,5
ZNF175,4626,2.073763828,124.104213,548.3332231,2.959149714,2.143410863,0.016709858,0,0,not flagged,0
ZNF28,5974,0.72581734,15.18655447,63.36948035,2.955727919,2.060271574,0.047793418,0,0,not flagged,1
L3MBTL3,5111,5.495474144,74.2977371,321.2748627,2.955651485,2.11226867,0.073965566,0,0,not flagged,3
TMCC1,7912,2.799581168,78.14095438,340.6677761,2.951004852,2.12407244,0.035827322,0,0,not flagged,2
KIAA0232,8499,9.331937226,98.16500841,423.3607438,2.947436753,2.108493856,0.095063785,0,0,not flagged,0
SPOPL,6468,5.080721378,165.5637905,696.5356602,2.941533778,2.072743609,0.030687395,0,0,not flagged,6
RASSF9,1826,1.347946488,46.00592246,188.4901344,2.935540486,2.034360497,0.029299412,0,0,not flagged,0
SKIL,7782,9.850378183,116.0149284,485.0565607,2.933650584,2.06374792,0.084906126,0,0,not flagged,12
ELK4,10973,6.221291484,97.44382281,418.3442648,2.931549705,2.101934458,0.063844904,0,0,not flagged,1
FRMD4B,10016,3.421710316,60.22994936,254.6521881,2.925852345,2.079792304,0.056810779,0,0,not flagged,0
USP32,7755,8.087678929,90.8745831,388.8434519,2.925412512,2.097119052,0.088998251,0,1,strongly selective,106
DGKH,18925,0,26.34167714,111.9071139,2.920489617,2.086463974,0,0,0,not flagged,0
DICER1,12292,38.26094263,402.912894,1700.973891,2.920259636,2.077793791,0.094960829,0,0,not flagged,728
ZNF14,2949,3.836463082,91.43932709,374.3572699,2.918523955,2.03340985,0.041956379,0,0,not flagged,1
MPHOSPH8,4786,4.147527656,110.2578747,454.4294539,2.914380891,2.043075554,0.037616612,0,0,not flagged,68
AKAP11,9913,11.82045382,128.74831,533.3638201,2.910551306,2.050481468,0.091810555,0,0,not flagged,0
CDKL5,3576,3.318022125,79.63425249,335.1214005,2.90430847,2.073084709,0.041665766,0,0,not flagged,0
PTPN12,5547,1.762699254,80.82732605,336.3653458,2.901028883,2.056978463,0.021808209,0,0,not flagged,6
CEP97,9550,10.67988371,157.4699938,652.7907846,2.894856515,2.05147423,0.067821707,0,1,strongly selective,273
ZNF570,2952,4.354904039,49.28489681,202.7198862,2.891708774,2.040048579,0.088361837,0,0,not flagged,0
ZNF652,8810,11.92414201,119.4772298,491.8170683,2.881009305,2.041294699,0.099802632,0,0,not flagged,2
MYSM1,8938,15.24216414,224.9487996,897.661214,2.880868281,1.996526331,0.067758371,0,1,strongly selective,29
CDK19,7620,3.73277489,67.4992912,280.0421779,2.877322751,2.052537671,0.055300949,0,0,not flagged,1
CTTNBP2,7035,2.592204785,33.52769329,138.3172439,2.876976875,2.044229957,0.077315333,0,1,strongly selective,2
