ensembl_id,gene_length_bp
ENSG00000000003,2968
ENSG00000000005,1610
ENSG00000000419,1207
ENSG00000000457,6876
ENSG00000000460,6354
ENSG00000000938,3474
ENSG00000000971,8144
ENSG00000001036,3119
ENSG00000001084,8463
ENSG00000001167,3811
ENSG00000001460,8514
ENSG00000001461,9404
ENSG00000001497,5589
ENSG00000001561,4651
ENSG00000001617,4826
ENSG00000001626,8099
ENSG00000001629,7130
ENSG00000001630,4074
ENSG00000001631,6204
ENSG00000002016,4190
ENSG00000002330,1708
ENSG00000002549,3785
ENSG00000002586,3284
ENSG00000002587,8166
ENSG00000002726,3824
ENSG00000002745,3261
ENSG00000002746,13965
ENSG00000002822,6955
ENSG00000002834,7061
ENSG00000002919,3606
ENSG00000002933,3479
ENSG00000003056,3777
ENSG00000003096,6983
ENSG00000003137,5015
ENSG00000003147,4891
ENSG00000003249,3522
ENSG00000003393,10381
ENSG00000003400,7598
ENSG00000003402,22528
ENSG00000003436,11714
ENSG00000003509,3651
ENSG00000003756,10368
ENSG00000003987,5692
ENSG00000003989,7905
ENSG00000004059,1871
ENSG00000004139,8132
ENSG00000004142,2662
ENSG00000004399,9738
ENSG00000004455,5683
ENSG00000004468,6855
ENSG00000004478,3958
ENSG00000004487,5447
ENSG00000004534,7300
ENSG00000004660,7424
ENSG00000004700,3778
ENSG00000004766,7359
ENSG00000004776,1722
ENSG00000004777,5260
ENSG00000004779,1600
ENSG00000004799,4519
ENSG00000004809,3791
ENSG00000004838,4009
ENSG00000004846,9257
ENSG00000004848,2876
ENSG00000004864,3710
ENSG00000004866,6742
ENSG00000004897,6824
ENSG00000004939,5287
ENSG00000004948,4036
ENSG00000004961,2335
ENSG00000004975,5350
ENSG00000005001,2387
ENSG00000005007,8600
ENSG00000005020,5520
ENSG00000005022,1500
ENSG00000005059,3558
ENSG00000005073,2307
ENSG00000005075,962
ENSG00000005100,5872
ENSG00000005102,2707
ENSG00000005108,10923
ENSG00000005156,8240
ENSG00000005175,3343
ENSG00000005187,5095
ENSG00000005189,4111
ENSG00000005194,3509
ENSG00000005238,6409
ENSG00000005243,1847
ENSG00000005249,4318
ENSG00000005302,6494
ENSG00000005339,15068
ENSG00000005379,11382
ENSG00000005381,3622
ENSG00000005421,2988
ENSG00000005436,5465
ENSG00000005448,2860
ENSG00000005469,4979
ENSG00000005471,7494
ENSG00000005483,9227
ENSG00000005486,2441
ENSG00000005513,4432
ENSG00000005700,8722
ENSG00000005801,5705
ENSG00000005810,15943
ENSG00000005812,4651
ENSG00000005844,6472
ENSG00000005882,5481
ENSG00000005884,9802
ENSG00000005889,9037
ENSG00000005893,5617
ENSG00000005955,9729
ENSG00000005961,5551
ENSG00000005981,4605
ENSG00000006007,4412
ENSG00000006015,3370
ENSG00000006016,3018
ENSG00000006025,6572
ENSG00000006042,5187
ENSG00000006047,4618
ENSG00000006059,1287
ENSG00000006071,6835
ENSG00000006074,1397
ENSG00000006075,1494
ENSG00000006114,14277
ENSG00000006116,3088
ENSG00000006118,7271
ENSG00000006125,7797
ENSG00000006128,1888
ENSG00000006194,9329
ENSG00000006210,5983
ENSG00000006282,5237
ENSG00000006283,9709
ENSG00000006327,1848
ENSG00000006377,3449
ENSG00000006432,12386
ENSG00000006451,3665
ENSG00000006453,4798
ENSG00000006459,9430
ENSG00000006468,9686
ENSG00000006530,6547
ENSG00000006534,6621
ENSG00000006555,6055
ENSG00000006576,8631
ENSG00000006606,706
ENSG00000006607,14413
ENSG00000006611,4187
ENSG00000006625,1905
ENSG00000006634,4583
ENSG00000006638,2793
ENSG00000006652,6481
ENSG00000006659,1079
ENSG00000006695,3172
ENSG00000006704,6498
ENSG00000006712,2668
ENSG00000006715,7801
ENSG00000006740,9281
ENSG00000006744,6345
ENSG00000006747,5048
ENSG00000006756,7030
ENSG00000006757,3441
ENSG00000006788,6347
ENSG00000006831,5878
ENSG00000006837,3681
ENSG00000007001,2957
ENSG00000007038,1984
ENSG00000007047,6668
ENSG00000007062,7465
ENSG00000007080,1660
ENSG00000007129,1926
ENSG00000007168,8127
ENSG00000007171,4176
ENSG00000007174,16980
ENSG00000007202,9235
ENSG00000007216,3226
ENSG00000007237,10100
ENSG00000007255,933
ENSG00000007264,4138
ENSG00000007306,2649
ENSG00000007312,2080
ENSG00000007314,8247
ENSG00000007341,8111
ENSG00000007350,3650
ENSG00000007372,14776
ENSG00000007376,2769
ENSG00000007384,5104
ENSG00000007392,6176
ENSG00000007402,6319
ENSG00000007516,6143
ENSG00000007520,1243
ENSG00000007541,6869
ENSG00000007545,8427
ENSG00000007866,3046
ENSG00000007908,4586
ENSG00000007923,5147
ENSG00000007933,3463
ENSG00000007944,3033
ENSG00000007952,2529
ENSG00000007968,5457
ENSG00000008018,2256
ENSG00000008056,3203
ENSG00000008083,6490
ENSG00000008086,3576
ENSG00000008118,2676
ENSG00000008128,4707
ENSG00000008130,5637
ENSG00000008196,6149
ENSG00000008197,1856
ENSG00000008226,8338
ENSG00000008256,5805
ENSG00000008277,12217
ENSG00000008282,2794
ENSG00000008283,5320
ENSG00000008294,11948
ENSG00000008300,13888
ENSG00000008311,4591
ENSG00000008323,4260
ENSG00000008324,1301
ENSG00000008382,2049
